"Month","Longitude","Latitude","Location","Crime.type","Town","Population"
"2015-01","-6.348367","54.459997","Oakridge","ASBO","ARMAGH","175,621"
"2015-02","-6.550000","54.489224","Mount Hall","VISO","PORTADOWN","22,611"
"2015-01","-5.923242","54.227301","Bryansford Road","CDAR","NEWRY","27,234"
"2015-02","-6.076845","54.508703","Drumlough Gardens","ASBO","LISBURN","121,654"
"2015-02","-5.976491","54.577777","Kennedy Way Industrial Estate","OTTH",NA,NA
"2015-02","-5.947200","54.665929","Elmfield Road","VISO","NEWTOWNABBEY","118,261"
"2015-01","-5.889516","54.215339","Railway Street","ASBO","COMBER","9,256"
"2015-02","-6.005130","54.549734","Auburn Place","OTTH","DUNMURRY",NA
"2015-02","-5.870634","54.594667","Hewitt Parade","VISO","BELFAST","335,665"
"2015-01","-6.213515","54.622731","Mill Road","VISO","PORTSTEWART","7,825"
"2015-01","-5.694694","54.652678","Orlock Gardens","VISO","BANGOR","62,789"
"2015-01","-6.186325","54.706906","Craighill","VISO","ANTRIM","21,896"
"2015-02","-6.192086","54.693210","Abbey Gardens","VISO","MILLISLE","2,359"
"2015-02","-5.960708","54.572022","Lisburn Road","ASBO","",NA
"2015-02","-6.074265","54.507090","Moira Road","DRUG","GLENAVY","5,798"
"2015-01","-5.918906","54.575973","Gipsy Street","BURG","BELFAST","335,665"
"2015-02","-6.613145","54.756375","Rainey Street","SHOP","MAGHERAFELT","8,387"
"2015-02","-6.041600","54.541480","Milltown Avenue","VISO","LISBURN","121,654"
"2015-02","-6.048100","54.519285","Magheralave Road","VISO","LISBURN","121,654"
"2015-02","-5.890707","54.210014","Castle Place","SHOP","ARDGLASS","1,923"
"2015-01","-5.922012","54.628877","Oakmount Drive","SHOP","BELFAST","335,665"
"2015-01","-6.275941","54.865456","Wellington Street","OTTH","BALLYMENA","30,265"
"2015-01","-7.346647","55.029804","Pinetrees","DRUG","DOWNPATRICK","11,012"
"2015-02","-5.931351","54.612082","Lepper Street","OTTH","BELFAST","335,665"
"2015-01","-5.723502","54.500407","Lisbarnet Road","DRUG","COMBER","9,256"
"2015-01","-7.314524","54.377171","Spout Gardens","ASBO","FIVEMILETOWN","1,369"
"2015-01","-6.664782","54.694904","Fairlea Heights","BURG","MONEYMORE","1,371"
"2015-01","-6.261073","54.421980","Winona Crest","VISO","CRAIGAVON","17,213"
"2015-02","-5.902482","54.674318","Abbeyville Park","VISO","NEWTOWNABBEY","118,261"
"2015-01","-7.643201","54.348164","Queen Street","SHOP","LONDONDERRY","87,269"
"2015-01","-6.563748","54.309972","Mountnab Road","DRUG","MARKETHILL","1,713"
"2015-01","-6.178737","54.710045","Willowdale","ASBO","BALLYMONEY","11,365"
"2015-02","-5.930725","54.640275","Downview Avenue","CDAR","BELFAST","335,665"
"2015-02","-5.926410","54.601179","Hill Street","OTTH","BELFAST","335,665"
"2015-02","-5.948410","54.668061","Elmfield Park","VISO","DONAGHADEE","6,926"
"2015-02","-6.645834","55.132594","Clifton Park","BURG","COLERAINE","24,694"
"2015-02","-7.308967","54.595870","Dromore Road Retail Park","OTTH","OMAGH","21,325"
"2015-01","-6.284773","54.863254","Galgorm Road","OTTH","BALLYMENA","30,265"
"2015-01","-6.352147","54.180112","Hospital Road","ASBO","MAGHERAFELT","8,387"
"2015-01","-6.358575","54.183336","Parkhead Crescent","ASBO","NEWRY","27,234"
"2015-01","-5.924849","54.597496","Seymour Street","SHOP","LISBURN","121,654"
"2015-01","-6.677795","55.121473","Screen Road","OTTH","COLERAINE","24,694"
"2015-02","-6.735112","54.639286","Coolnafranky Park","DRUG","COOKSTOWN","10,718"
"2015-02","-7.310418","54.598833","Great Northern Road","ASBO",NA,NA
"2015-02","-5.934633","54.612075","New Lodge Road","CDAR","BELFAST","335,665"
"2015-01","-5.944422","54.615045","Clifton Drive","VECR","BELFAST","335,665"
"2015-02","-6.258551","54.463255","Malcolmson Park","CDAR","MAGHERALIN","1,452"
"2015-01","-6.313448","54.285203","Carrick Road","VISO","BANBRIDGE","14,634"
"2015-01","-6.048663","54.512645","Antrim Street","ASBO","LISBURN","121,654"
"2015-02","-5.876730","54.573865","Delamont Park","ASBO","BELFAST","335,665"
"2015-02","-5.963783","54.668761","Hightown Drive","ASBO","NEWTOWNABBEY","118,261"
"2015-01","-5.920489","54.584357","Kinallen Court","OTTH","BELFAST","335,665"
"2015-02","-5.933066","54.591086","Dublin Road","OTCR","OMAGH","21,325"
"2015-02","-5.947948","54.696580","Earlford Heights","ASBO","NEWTOWNABBEY","118,261"
"2015-01","-6.326718","54.472386","Levin Road","VISO","LURGAN","28,568"
"2015-02","-7.330550","54.998295","Westland Terrace","ASBO","LONDONDERRY","87,269"
"2015-01","-6.254657","54.110892","Riverfields","ASBO","WARRENPOINT","7,651"
"2015-02","-6.328790","54.854929","Galgorm Road","OTTH","BALLYMENA","30,265"
